Score,Gender,Age Range
16212,Boy,20
686,Boy,30
19454,Girl,10
3346,Boy,20
4499,Boy,20
5533,Boy,20
31200,Girl,20
10941,Boy,20
19807,Boy,20
12551,Boy,20
5409,Boy,50
12110,Boy,20
23908,Boy,20
5716,Boy,30
33831,Boy,20
12395,Girl,20
137,Girl,20
9179,Boy,20
5041,Boy,20
181,Boy,50
6341,Boy,20
68994,Boy,20
25985,Boy,20
24630,Girl,20
160805,Boy,10
252,Boy,20
40106,Boy,20
6600,Girl,20
7007,Boy,20
11017,Boy,20
3790,Girl,20
1446,Girl,20
15868,Girl,20
35,Girl,20
29955,Girl,20
1661,Boy,20
3103,Girl,30
32812,Boy,20
6625,Boy,20
2247,Girl,20
838,Boy,20
2158,Boy,20
74265,Boy,10
227,Boy,20
1523,Boy,20
7636,Girl,20
20053,Boy,20
897,Boy,20
17729,Boy,20
55771,Girl,10
70002,Boy,20
9419,Girl,20
2733,Girl,20
40115,Girl,20
2977,Girl,20
149,Boy,30
3301,Boy,50
2913,Boy,20
2204,Boy,20
1899,Boy,20
1401,Boy,20
1730,Girl,20
4246,Boy,20
24371,Girl,20
23858,Girl,20
11162,Girl,20
11354,Boy,20
6537,Boy,20
634,Boy,20
23970,Girl,20
86363,Girl,20
3411,Girl,20
3340,Boy,20
9216,Girl,20
193257,Boy,10
16857,Girl,20
8989,Boy,20
12470,Boy,20
4802,Girl,20
22671,Girl,20
14002,Boy,20
25901,Boy,20
19091,Boy,20
104,Boy,60
4635,Girl,20
1236,Girl,20
347,Boy,20
4027,Boy,20
129,Boy,20
268,Boy,10
14042,Girl,20
787,Boy,30
3502,Boy,20
23921,Boy,20
17414,Boy,20
1918,Boy,20
4254,Girl,20
2865,Girl,50
2428,Boy,20
3848,Boy,20
4937,Girl,20
2182,Boy,20
8739,Boy,20
13069,Boy,20
135133,Boy,20
76946,Boy,20
4224,Boy,20
2293,Girl,20
3196,Boy,40
14501,Boy,20
171,Girl,20
11957,Girl,20
16695,Girl,20
9301,Boy,20